solver,r,c,comp,time,sing_values
randomized,50000,1000,6,0.904649257659912,"[71.34142270322616, 71.16317673186855, 70.99700879660979, 70.88072445322929, 70.79209789580104, 70.65634711407183]"
randomized,40000,800,20,1.3639581203460691,"[64.14107204532921, 63.95425800273957, 63.87676222463554, 63.7978857105091, 63.72932175631265, 63.61866515376366, 63.49271449427717, 63.45085598927544, 63.35226421130874, 63.26107048490296, 63.20855485124173, 63.180757688963595, 63.00468663980184, 62.93167497294332, 62.91435695498894, 62.804607754802035, 62.76707092396175, 62.64059267903871, 62.540395889002184, 62.50279765314405]"
randomized,10000,600,6,0.2709324359893799,"[35.067996374341455, 34.80517465788137, 34.642126405260726, 34.579962157966285, 34.5211763676954, 34.422792827530216]"
randomized,50000,400,18,1.1809089183807373,"[68.53697155492807, 68.4247677247752, 68.3134540189559, 68.23194181173746, 68.18922566389642, 68.02883301972793, 67.9354989826671, 67.85029454334028, 67.787978305385, 67.69639646036195, 67.56829456484138, 67.44944148694208, 67.30289013013079, 67.24693824030217, 67.22429085905073, 67.10420307868785, 67.0485968288288, 66.94765077285946]"
full,10000,1000,1,0.7690184116363525,[37.91621308808811]
full,10000,300,6,0.2688090801239013,"[33.7379478116755, 33.616884087775766, 33.471876799010644, 33.39123212710757, 33.33875950094799, 33.29055740414972]"
full,40000,700,12,1.3985605239868164,"[65.38941951948082, 65.14661399851198, 65.0554694566196, 64.9932776969358, 64.93416017161049, 64.89242161743269, 64.8555217999406, 64.80448532713424, 64.7548359404534, 64.71057725739834, 64.67570673078575, 64.62820426474295]"
full,50000,800,20,2.343064785003662,"[72.62910061455663, 72.49396113740035, 72.374625883202, 72.35279117636298, 72.33978612252562, 72.24991625718967, 72.17555500083756, 72.15501815829973, 72.1283204720974, 72.0964392160632, 72.04167085279573, 71.98701946687986, 71.97058551901647, 71.94334916718304, 71.87697034891688, 71.82999803554405, 71.78490331109677, 71.77849101109244, 71.76162300352658, 71.69172307332472]"
randomized,70000,400,14,1.091205358505249,"[80.31150236995174, 80.10384439177523, 79.97329849599078, 79.8118532317293, 79.67559092497797, 79.6174003543688, 79.48124411678992, 79.37487622092142, 79.34066903482741, 79.31044281434191, 79.16412223986637, 79.12021950592452, 78.85277769740468, 78.81680354863087]"
randomized,30000,900,6,0.7875699996948242,"[56.887625063732656, 56.75188007356483, 56.684968750675985, 56.47628874041706, 56.39379605238802, 56.21067050519509]"
full,100000,200,10,1.4396507740020752,"[95.21442986928137, 95.15123990655215, 95.01826998508331, 94.98336625191459, 94.86286711944715, 94.85415920486467, 94.76953294304826, 94.66084092024232, 94.62347492595455, 94.58998141017277]"
randomized,90000,200,20,1.0443150997161863,"[89.04525903129705, 88.96428093752769, 88.84762360444394, 88.70068547574223, 88.6058459493436, 88.54182049502361, 88.38357402737829, 88.31177067516167, 88.28781544247906, 88.23853717780993, 88.17639533632477, 88.06724125307555, 87.99858401109636, 87.91075129229519, 87.7697410046544, 87.61690995042906, 87.52382791673425, 87.46361422833397, 87.3410014523713, 87.26729383074199]"
randomized,90000,900,10,1.4908065795898438,"[92.45112762287414, 92.38907821032602, 92.14772994358016, 91.8933173680543, 91.7990034096591, 91.73125646755314, 91.65308929558083, 91.58057728608537, 91.4790534120592, 91.41701785185019]"
full,10000,500,14,0.2949550151824951,"[35.297578675590884, 35.215596226493815, 35.052995654772864, 35.03185106127017, 34.983396619172375, 34.90779815667448, 34.887989826417524, 34.77945376626101, 34.751165671509995, 34.604974690793235, 34.58919314715226, 34.5480760913069, 34.473634358050404, 34.44230275934556]"
randomized,10000,400,16,0.6709184646606445,"[33.97872858662602, 33.75338272596509, 33.72269081265931, 33.665130350205494, 33.52159844644534, 33.35100089638424, 33.252398845844056, 33.227125071377245, 33.135471219117726, 33.10562704529425, 32.98289733137336, 32.97578742296415, 32.85523455988395, 32.75498230499308, 32.69194115350743, 32.65475373791636]"
full,50000,500,14,1.1603736877441406,"[70.89867469255186, 70.83387099462435, 70.71275971374706, 70.63321869194552, 70.53132352127562, 70.51917698636245, 70.45996652353602, 70.45078900479315, 70.41623642188696, 70.34146923586162, 70.2728041255548, 70.2540871056287, 70.2021571993096, 70.17565583685791]"
