solver,r,c,comp,time,sing_values
randomized,50000,1000,6,1.358708953857422,"[7362.774438726072, 7342.827438365261, 7340.894697935963, 7334.407952979942, 7327.937300526455, 7319.330941213721]"
randomized,40000,800,20,1.169657588005066,"[6575.15475619502, 6563.350025855018, 6559.761904905757, 6549.124287969943, 6548.224578388235, 6545.7893338782405, 6534.938236797568, 6529.958537504512, 6527.153178564508, 6521.687382591686, 6517.18890753145, 6516.305355880056, 6513.39595355809, 6509.912762477391, 6502.892203065217, 5771.013119273133, 0.6335797375723019, 0.6316596264735261, 0.6294857795949889, 0.627883987078385]"
randomized,10000,600,6,0.1637624263763427,"[3581.6883799538095, 3571.0919206693643, 3565.8605905052723, 3559.3553298980173, 3549.894997467505, 3549.086196373592]"
randomized,50000,400,18,0.7442229986190796,"[7023.240887143893, 7011.78354338021, 7006.778747814397, 7002.021523074153, 6992.814576475421, 6990.696883882024, 6984.954079152234, 6449.513617680091, 0.6813641679928406, 0.6796565378625516, 0.6785958037638431, 0.678152744147147, 0.6772117904003662, 0.674958718171555, 0.6735084494788565, 0.6727340667838387, 0.6721626736067788, 0.6711220225287436]"
full,10000,1000,1,1.338208293914795,[3791.5714860062976]
full,10000,300,6,0.1548685550689697,"[3372.939801914309, 3361.448838191562, 3347.1528138341773, 3336.2594491589857, 3331.1593666187987, 2907.999575812757]"
full,40000,700,12,2.8419164180755616,"[6538.807409191283, 6514.463997932111, 6505.422975195044, 6499.243132721081, 6492.797203155533, 6489.188918050953, 6485.5471039154445, 6480.05379497808, 6475.38989497387, 6471.056371900244, 6467.150584218921, 6462.294046649571]"
full,50000,200,7,0.6618942499160767,"[6841.23507352094, 6837.411939964265, 6834.127292601142, 6448.0623940033665, 0.6825088544997895, 0.681775844587459, 0.6811150898489621]"
full,50000,800,20,4.5947054624557495,"[7262.9072008661715, 7249.008113685053, 7236.840715427934, 7235.245987943122, 7233.977665684407, 7224.430002211213, 7217.315943088206, 7215.210382586323, 7212.691715201177, 7209.525351045783, 7203.301983597417, 7198.689892810975, 7197.036163031151, 7193.982040868209, 7187.501121125614, 6437.73843645401, 0.718249100776063, 0.7178221878482935, 0.7176473594019697, 0.7176162168367991]"
randomized,40000,1000,19,1.4383715391159058,"[6688.66993784315, 6674.456567001419, 6670.652798920077, 6662.381335086672, 6654.1800079559835, 6648.897619745929, 6646.276250638112, 6638.783903040482, 6631.785406110487, 6628.896627511362, 6626.512663515365, 6615.622703497893, 6612.02415320368, 6610.017654456482, 6606.368413239646, 6596.831288300365, 6595.512705404192, 6588.885280104992, 6586.977646758653]"
