row,r,c,comp,time,n_over,n_iter,norm,driver,sing_values
row,50000,1000,0.1,3.4138662815093994,26,8,LU,gesdd,"[72.93051545055562, 72.7368999871675, 72.64386351425613, 72.62408156144419, 72.55507790201428, 72.43497492122806, 72.38581316177084, 72.30761770626485, 72.22702846454969, 72.20459643969673, 72.17547121496415, 72.02009685231417, 71.97653837239045, 71.91529020419202, 71.89676094709375, 71.85612216668966, 71.80428171100256, 71.75892713424305, 71.65180692834824, 71.63590708565414, 71.59388385909264, 71.56267026045752, 71.5091898355895, 71.49316167685916, 71.43405210805578, 71.3964248105269, 71.3222609890736, 71.2885052714096, 71.26740946703826, 71.20173588452626, 71.16947832961345, 71.13561754836007, 71.10548101763692, 71.0699521171717, 71.03635126340458, 71.00978996711652, 70.95750229142192, 70.92610330077505, 70.86997933177926, 70.8081318856967, 70.7840252945206, 70.72503615579011, 70.71608678779243, 70.68901516783559, 70.65599206371984, 70.60413748550012, 70.55632934921712, 70.51880866234151, 70.48211140327717, 70.45170272731356, 70.40906827875952, 70.36474282560637, 70.35498436231413, 70.30546096769262, 70.26619555372764, 70.23687830958096, 70.21544072419418, 70.18553744271227, 70.12934613911449, 70.08599934727106, 70.07904678286522, 70.05828438478109, 69.99737691226024, 69.96397126914692, 69.92489514291856, 69.88080217624572, 69.86514959429208, 69.84490987667124, 69.81221535370543, 69.75155761335581, 69.74992737504229, 69.69783183553555, 69.64011913119212, 69.5753580391307, 69.56459214587076, 69.52122795488302, 69.50929078742328, 69.47569960206008, 69.42394609886583, 69.40960164854549, 69.3674908588538, 69.3217172187836, 69.30914625966763, 69.25731754479544, 69.20360799460964, 69.16609910931129, 69.10060959293105, 69.09483402738876, 69.0344335038212, 68.98756281490319, 68.97942983878328, 68.9255152250967, 68.85853348550147, 68.83250252801658, 68.78344625277776, 68.76976289939167, 68.74346926904819, 68.73085855110683, 68.68623133089197, 68.63768651745795]"
row,50000,1000,0.1,1.875077724456787,8,2,LU,gesdd,"[70.16063458463883, 69.83516684178255, 69.73557096824055, 69.71363491320143, 69.61743108238026, 69.52051094790569, 69.47700172236371, 69.42100548252043, 69.35212689666248, 69.26234798303636, 69.25740440098953, 69.18651537031283, 69.14561357679084, 69.0866924961653, 69.0392515075953, 68.94906361632361, 68.91422803232622, 68.85704868485752, 68.79476143612335, 68.73177181285328, 68.65233908678724, 68.63525993705177, 68.57085847740092, 68.5646632592165, 68.4999022087056, 68.47740682059793, 68.43178992304527, 68.33879927409197, 68.33131512162466, 68.26429443403963, 68.23967116237264, 68.18065841555789, 68.1294115791703, 68.09520530251257, 67.97360927390973, 67.92247842743811, 67.8626275336022, 67.8214669357042, 67.74636406842528, 67.73844940523743, 67.68664837497761, 67.6368163480507, 67.582696321606, 67.56695408379498, 67.51289525930424, 67.472326429921, 67.44822842827216, 67.40561600829335, 67.35276617962057, 67.2977162582478, 67.26445333567519, 67.22540156241658, 67.21739148202036, 67.12287531661056, 67.10743979156213, 67.09192558077862, 67.01951189497083, 66.96027994300411, 66.90860955508354, 66.87742322101788, 66.82397013771768, 66.8051959372169, 66.73717326680206, 66.68352908388378, 66.6323205493228, 66.59434639682682, 66.57908164423841, 66.54246746834252, 66.46070477028029, 66.45470108283169, 66.41226766103543, 66.36770604593174, 66.31170888304428, 66.22734070365763, 66.2057760220482, 66.16555258979574, 66.11670550787932, 66.09559346735828, 66.06658023599479, 66.01462626827453, 65.89642597665888, 65.8770581608533, 65.82848602051729, 65.78636899117073, 65.77525239662337, 65.73702000277893, 65.71128947153282, 65.63376077254219, 65.58760946721054, 65.48932203792427, 65.4651603705747, 65.41889831947297, 65.38760649064632, 65.35076012957403, 65.30295101896479, 65.22010489728316, 65.14757573874336, 65.0767994420473, 65.07167541189624, 64.95148569833779]"
row,50000,1000,0.1,2.44577693939209,26,2,LU,gesdd,"[70.2695941460898, 70.11778471221335, 69.99272981393966, 69.89654302808603, 69.88487785190942, 69.78830165710504, 69.70646889451771, 69.65820430267559, 69.61594340274402, 69.55234008410423, 69.45613512836688, 69.3255140687888, 69.30428669255248, 69.23373563042432, 69.18716629794008, 69.16897028595932, 69.10944982801173, 69.01310807448539, 68.99506451182317, 68.96882014273511, 68.93111725785407, 68.86879453746543, 68.79236560917805, 68.76287786650657, 68.73018615380194, 68.72030852006878, 68.69024826249087, 68.57673252407288, 68.54365778057108, 68.4403488480694, 68.41171711140325, 68.35139785047018, 68.30586818230087, 68.26277718580809, 68.21857247959828, 68.20292208068578, 68.15758252101362, 68.10543569122322, 68.05799143178314, 68.01783939210316, 67.98552652339782, 67.95441512656743, 67.86323819900569, 67.85579838086005, 67.8207265410957, 67.79731446274076, 67.75865747718973, 67.69476493187575, 67.6349980165569, 67.6182204448351, 67.5948969458757, 67.55640987678947, 67.51052487449826, 67.43879057114657, 67.40584319047763, 67.36995520178183, 67.30172374902158, 67.27843877019244, 67.22354255572151, 67.19310488730736, 67.14303462576704, 67.11237709651307, 67.06165311856043, 67.01114612975988, 66.97810301178548, 66.94916027669738, 66.92245347744003, 66.88225740858927, 66.82119989927867, 66.79020939750257, 66.74546590795721, 66.73450383311939, 66.67336398064805, 66.61297442724421, 66.5949244175862, 66.5349606568316, 66.51730131429781, 66.49000135950125, 66.46888185164553, 66.41458404113527, 66.35933634821303, 66.28968870470291, 66.25792688931037, 66.24482428282869, 66.22052942361286, 66.1852221416502, 66.17605589248734, 66.11389340085705, 66.04762260217223, 65.97764850045789, 65.95340134486744, 65.95139573643485, 65.84880547728798, 65.80516056132753, 65.78257334232035, 65.73780158388615, 65.69008833484358, 65.63103520628596, 65.59354219498957, 65.52053964837128]"
row,50000,1000,0.1,6.336199045181274,12,7,QR,gesdd,"[72.64289609748495, 72.38636571427018, 72.31191243463839, 72.23605903385992, 72.12882475544393, 72.02605203197136, 71.97035322551639, 71.95921936804075, 71.9169926896207, 71.8145764764243, 71.7550278885659, 71.66372491388145, 71.63081915836202, 71.6230492865074, 71.53746553870037, 71.52156092812292, 71.46494584460656, 71.4325144383765, 71.36342710701261, 71.31995940841527, 71.26932654359588, 71.24363591783519, 71.22563020999407, 71.19858441204096, 71.14597205948712, 71.08252278739268, 71.02109680331769, 70.99358999519997, 70.94573184703987, 70.90394008759121, 70.83772927886382, 70.80480418957691, 70.75510005877167, 70.7214102978919, 70.65565491745835, 70.6272604381991, 70.58916935107605, 70.51092183861326, 70.47409699315436, 70.43693418093083, 70.42549615633133, 70.36915259094049, 70.33229480331127, 70.31623268903151, 70.29194349805388, 70.20316119597611, 70.17662186916843, 70.15572148739825, 70.11876748734953, 70.1132963963332, 70.02629067271528, 69.99354354927581, 69.96771432396876, 69.91604007959774, 69.90067522274158, 69.85006759934177, 69.8258977363341, 69.78455388619453, 69.73612144236048, 69.67946412239003, 69.67043864410782, 69.61342880337035, 69.55076293727164, 69.53263200510965, 69.51767004676864, 69.4998648521215, 69.40076562547941, 69.36194884300053, 69.30433262067783, 69.28880723442876, 69.2797329021793, 69.23006679692477, 69.19995133102839, 69.16307223467192, 69.09929917174689, 69.07738792713997, 69.02863285217197, 68.96684324447702, 68.95606808880663, 68.93866651882948, 68.87305653736965, 68.83491614137029, 68.81559519623534, 68.76185139780559, 68.72468497152565, 68.71260611631922, 68.61765870467201, 68.56250284507381, 68.52007373009421, 68.50000303443367, 68.42481428490252, 68.33328874614503, 68.31887704157741, 68.31455452147742, 68.27347886866288, 68.181120078926, 68.16869805434366, 68.14872395203372, 68.10573173764129, 68.07128170254447]"
row,50000,1000,0.1,2.5802271366119385,4,2,QR,gesdd,"[70.0779996861113, 69.95256196944035, 69.80330766136073, 69.70541389503765, 69.64715768708689, 69.58731823124941, 69.54355827073202, 69.42018651563785, 69.36474170607275, 69.32004406078622, 69.15487146310504, 69.09822140597136, 69.03981999545418, 68.98102611454043, 68.93726634909673, 68.84719057316799, 68.81003043583469, 68.78261558062114, 68.75202729671777, 68.7046589996944, 68.61115558579515, 68.53704600042744, 68.52239171342752, 68.4517982352002, 68.4059031805775, 68.35474511011124, 68.33091345971212, 68.29149569312058, 68.2319507243725, 68.17206271839423, 68.14246030850751, 68.07740088809408, 68.02617403695982, 67.97348095158827, 67.94739544231572, 67.90427284822265, 67.84630583595457, 67.83878363703597, 67.76154959703875, 67.70909766640966, 67.70011752386027, 67.65664162190409, 67.62041366133585, 67.59386695465865, 67.49441321686278, 67.45299599790678, 67.44211651412452, 67.3771724420162, 67.32743759659826, 67.21777589799197, 67.20892141746788, 67.17202598409912, 67.12581551739699, 67.09755604165461, 67.06239683003787, 67.00550542335519, 66.9752594548386, 66.94297900266834, 66.88066527668215, 66.83887870289905, 66.81097618025696, 66.73480479671572, 66.70678664449744, 66.65308823052032, 66.59335817505753, 66.582007463205, 66.54423461825156, 66.51472119985739, 66.49159481695715, 66.34900604725422, 66.32927915619513, 66.30156615216544, 66.27096517582761, 66.22885810712783, 66.17126335415067, 66.15239507057504, 66.12313593560488, 66.09945283439512, 65.99941171151526, 65.94786437602006, 65.91218351225774, 65.89848423932679, 65.77237557258404, 65.69703098229081, 65.67471701913047, 65.66310399132021, 65.57066128688597, 65.55049798966931, 65.53343904358903, 65.42265008524225, 65.37194133417688, 65.21112639094879, 65.11776377391367, 65.07355195988326, 65.0314466625966, 64.92401138781636, 64.90163646242631, 64.79728731022995, 64.75875901337085, 64.68339983690714]"
row,50000,1000,0.1,1.1870033740997314,10,2,none,gesdd,"[70.16899109101745, 69.94810102806402, 69.83426922045041, 69.68463861335864, 69.67397556712625, 69.6231128547193, 69.522504690773, 69.48324051707736, 69.40706030841709, 69.36635880302663, 69.27721626157907, 69.20825660219062, 69.13513191144204, 69.0340088577362, 68.98971940678038, 68.94684635509428, 68.90419514243855, 68.88491961661863, 68.82591416762388, 68.8086681047666, 68.75200129820516, 68.68322416418475, 68.61550381116824, 68.53231189433339, 68.5040779934984, 68.46408104806434, 68.41774141616075, 68.38644041756247, 68.3326164112998, 68.26760596196908, 68.18596867566995, 68.14070586069946, 68.12512651163435, 68.06332891188507, 68.04569743529221, 67.99807726779515, 67.97126288251897, 67.92220519395158, 67.86067787860799, 67.82270513696447, 67.76810403282742, 67.71030293387454, 67.68346239402416, 67.62775367665601, 67.60775887615277, 67.52295809007947, 67.45825051685625, 67.41044087479882, 67.35208034630082, 67.30218789102436, 67.29962003663866, 67.22501709002606, 67.16467172113356, 67.14153755464788, 67.12345316091852, 67.02583411375224, 66.99936496365608, 66.9482294744053, 66.94231505792763, 66.89821919838097, 66.83872809274732, 66.81294652107216, 66.78527063590991, 66.7673682243145, 66.69208200047277, 66.68978028568414, 66.6160068382488, 66.59724551535193, 66.50839673907733, 66.47313545497084, 66.43980770817944, 66.37390017999336, 66.3568458513701, 66.2796127810473, 66.25310269829151, 66.19977889004812, 66.13658140804503, 66.10233678616073, 66.09514607758423, 66.00967664644124, 65.97176327147096, 65.88616269771973, 65.86825899136325, 65.86230615221359, 65.78069561048798, 65.75955976559644, 65.64113803815229, 65.63103368558194, 65.57134230343198, 65.53480618382696, 65.47964733516214, 65.45527077046194, 65.39523921230524, 65.37469310267518, 65.30564737363386, 65.24869271981541, 65.22462692530658, 65.16284347247014, 65.06088465355121, 65.04241227172562]"
row,50000,1000,0.1,4.057401418685913,12,9,LU,gesdd,"[73.01148423392803, 72.78573998508747, 72.66391430022261, 72.6207026083061, 72.55898955545031, 72.44885880471084, 72.36405127376258, 72.32102609079857, 72.30895172866421, 72.2267780627453, 72.21069773031496, 72.09828366334074, 72.06862063515813, 72.02421014466908, 71.9269845491988, 71.90014823669905, 71.85623294979818, 71.82705580845581, 71.808489768135, 71.75474701523305, 71.71799971004637, 71.66609550812939, 71.63806666775292, 71.61120592016384, 71.53356297359578, 71.51507167844822, 71.47194843871671, 71.42456986757418, 71.39157173571941, 71.36462048107043, 71.32414498829202, 71.26911118383164, 71.16636479207978, 71.14712347209615, 71.10362456589903, 71.0772470468585, 71.02112415411622, 70.96915727229498, 70.92975405290451, 70.90480207581534, 70.86351993550441, 70.82177010918677, 70.7950696100003, 70.78665480453597, 70.72672293794183, 70.71282486826406, 70.6763835387165, 70.63467663290437, 70.59729514960745, 70.5678416409525, 70.53840565300949, 70.44342015878547, 70.41510328485843, 70.40034018557374, 70.35256213491424, 70.31952812580407, 70.2591481610987, 70.23859817871983, 70.21778489877666, 70.16250696500295, 70.13685508763601, 70.09839526774707, 70.04861867046534, 70.03593858379475, 70.0177455358211, 69.9690988930306, 69.881267288934, 69.8326762840682, 69.82481914882149, 69.79496669620168, 69.78109718535087, 69.72657084767832, 69.6759453470731, 69.63520717705106, 69.62051698359399, 69.5750323001014, 69.50882412115743, 69.48221881842913, 69.46111651927862, 69.44156618013658, 69.40980604779692, 69.36877868238896, 69.33127336087605, 69.31273905311828, 69.30615850808792, 69.27161365193177, 69.11142870826659, 69.10176150742285, 69.0399040875088, 69.0080192320907, 68.95798520320496, 68.88459692952065, 68.85670342737596, 68.82069431329852, 68.81394542167519, 68.71714657283684, 68.70205266163406, 68.67392582759949, 68.64066898446447, 68.606666237787]"
row,50000,1000,0.1,1.945154428482056,16,2,LU,gesdd,"[70.37665915332413, 70.12419896680994, 70.04486252746983, 69.93170159528147, 69.84476363087995, 69.78673259463719, 69.68101638883309, 69.56116687879216, 69.53818967322323, 69.50284140871611, 69.36242495396368, 69.3125322303354, 69.25826042692603, 69.23551768896633, 69.1452058461765, 69.1379231744578, 69.053083085207, 69.02400130304427, 68.96085042044832, 68.8761947900933, 68.83047665858842, 68.73145074773605, 68.72113073505382, 68.67231577327208, 68.60344766522661, 68.55750483666066, 68.52809685547959, 68.49232502572517, 68.44415187925803, 68.40052388471328, 68.36451492406026, 68.24528377196813, 68.23352051765389, 68.16798650890871, 68.13088380924972, 68.05454319198458, 68.03050329210745, 67.9882187217962, 67.94179367144072, 67.89243148932381, 67.86055678786666, 67.79808815953048, 67.75528697063488, 67.68643510735265, 67.67234839380949, 67.62848266728749, 67.60735355576456, 67.58477926313584, 67.51779183126095, 67.45164536730147, 67.42577367096735, 67.41181944482324, 67.37511057823495, 67.33639252183771, 67.2765353427759, 67.2316243556679, 67.22282631844615, 67.20472893318289, 67.09562758799643, 67.06007542091804, 67.00857085762269, 67.00197672948987, 66.9223756038859, 66.89262258626307, 66.85757791729054, 66.84293545010172, 66.81763461189051, 66.79107351470033, 66.74657452403599, 66.65902656893837, 66.60121790555243, 66.55202322133147, 66.5381979823217, 66.504397331184, 66.48212543362548, 66.3830526524705, 66.35035373034664, 66.27968787801099, 66.26034083110277, 66.24389985625528, 66.17830258777907, 66.13452075704835, 66.08563379899215, 66.0585029736352, 66.02459299400223, 65.9871464556354, 65.93154806547135, 65.90980256606082, 65.81736199434056, 65.79604352027819, 65.72020072454816, 65.64716158157306, 65.60856660299353, 65.589627790473, 65.5189127265578, 65.50033353826915, 65.45949556212268, 65.38347182659469, 65.340947536175, 65.29756186153]"
row,50000,1000,0.1,3.46230149269104,14,3,QR,gesdd,"[71.02622449201603, 70.7899293109203, 70.70927072134153, 70.6534222103266, 70.52494143254681, 70.45699135938867, 70.38776572271541, 70.35866417351099, 70.29530464243659, 70.11215604066666, 70.09774773077255, 70.01512898876192, 69.9478294448072, 69.88806515987741, 69.81621074566779, 69.77871387795648, 69.75815612087555, 69.70756929046716, 69.62126444618777, 69.59103180809899, 69.5157781761661, 69.46544131012372, 69.43165728868145, 69.39484677956321, 69.32620522570257, 69.2861483428869, 69.23246226910054, 69.20526650366085, 69.15782966173501, 69.13079748400595, 69.08725800079968, 69.05087293532584, 69.01167469343113, 68.97738924859536, 68.91321788986451, 68.86265844195474, 68.80662828586478, 68.78390649575667, 68.71900352854874, 68.68127695063629, 68.67855563814871, 68.64177299970885, 68.6212259657622, 68.57276999501455, 68.53016966267413, 68.4970681979258, 68.4434336745043, 68.40521465149114, 68.3817537845547, 68.34264386694713, 68.26210417533329, 68.24145146166427, 68.20661727967565, 68.13831698679832, 68.11051602200733, 68.06848023794961, 68.0049198811486, 67.97188997614205, 67.92144195561377, 67.87603155041369, 67.82835287403964, 67.79944922014982, 67.75027257563183, 67.70032920837804, 67.65856516015974, 67.59125763334322, 67.53756166334055, 67.52577852134354, 67.49748632933155, 67.41578014656275, 67.39841875110567, 67.36092291658994, 67.28267003161197, 67.246064261569, 67.22421865672841, 67.16211359834958, 67.11587186658821, 67.09251061030493, 67.06878561310619, 67.03731265430834, 66.9660752630398, 66.9005702640147, 66.86867859389058, 66.84332680648956, 66.77570141478141, 66.72725133432674, 66.70257872507828, 66.64158457651133, 66.60635232600204, 66.51526141097528, 66.44047798144086, 66.3922941745178, 66.36315715549584, 66.32597130597776, 66.28646655416472, 66.25505161748133, 66.16064389010596, 66.13178614491831, 66.09739145747193, 66.06509383942533]"
row,50000,1000,0.1,3.787911176681519,12,1,QR,gesdd,"[69.29944654929407, 69.09491268064721, 68.97926880760137, 68.75696876464356, 68.70767292191677, 68.67237838925978, 68.5651270260146, 68.5491486129978, 68.51322076181746, 68.45369481422368, 68.36273474582796, 68.27523115345828, 68.18950681177682, 68.14425995432103, 68.08530965752776, 68.0729437497334, 68.00372696101915, 67.92842832443078, 67.91771872711172, 67.80947684840099, 67.75798615845105, 67.72048409035136, 67.66527980056038, 67.63580566697135, 67.51582640553866, 67.49781046126108, 67.44433914899588, 67.41759457570086, 67.36210858754933, 67.32086028206116, 67.24812440743351, 67.17440348448233, 67.15121226853732, 67.13349450288732, 67.10126625061321, 67.05140418939042, 66.96493073646457, 66.95647258415431, 66.8991756534926, 66.83716114277713, 66.818907240879, 66.78204993821018, 66.73044868424832, 66.69394348451166, 66.66803284937743, 66.60198371116759, 66.5880154736587, 66.51869119046535, 66.49906404286429, 66.47265160894524, 66.42872207025388, 66.39264379271032, 66.35269702786935, 66.32444954962978, 66.27130959533076, 66.26354086944826, 66.19667220134345, 66.18629331762637, 66.11235530138123, 66.0129848251691, 65.99681715227464, 65.94293221941327, 65.92343599250978, 65.83298882213253, 65.8231391863223, 65.73302874888978, 65.72310409997895, 65.70982673127631, 65.61016730418618, 65.58505116766221, 65.52168001165093, 65.43832175549136, 65.41803108779534, 65.39508957621989, 65.33213604678117, 65.28090409291623, 65.23594734200036, 65.20131756893184, 65.15543923803067, 65.13655318479006, 65.09904294631215, 65.03211674821664, 65.01555060302326, 64.98900874389578, 64.899380744328, 64.87183871576792, 64.8157813166238, 64.76982608588527, 64.70863964053467, 64.66339763724906, 64.63939440500195, 64.57449341073368, 64.52664461076643, 64.48784445686417, 64.44845573501506, 64.40586212323089, 64.33732215536462, 64.30103210763905, 64.23085422717762, 64.18668846900744]"
