row,solver,r,c,time,comp,density,sing_values
row,randomized,60000,2000,0.1668015480041504,30,0.0001,"[2.51581832801212, 2.4993870807226313, 2.4966807814763414, 2.4195899973725052, 2.4012972352918074, 2.387939533893437, 2.383856837657265, 2.3717463199109012, 2.362393407549375, 2.3560964429648665, 2.3435382209177265, 2.3263049986525424, 2.3138856268907415, 2.2992949398963387, 2.2892252812479894, 2.282092848865893, 2.269080622974595, 2.2570685221461066, 2.2545121421207197, 2.2345410691187086, 2.22461127777428, 2.2220173427601897, 2.2169632479706545, 2.2127350956497396, 2.2035535041644607, 2.19317934895285, 2.183823306958699, 2.1748917570583144, 2.1683760505619136, 2.1563319254899467]"
row,arpack,60000,2000,0.4440343379974365,80,0.0001,"[2.540212509025388, 2.5322234093030356, 2.522636299342378, 2.453492454237092, 2.4524760248815736, 2.4454592340621137, 2.429319843032304, 2.4289336402161235, 2.4182266250073643, 2.4172905973265313, 2.389658204172829, 2.3894666420668758, 2.374002683259928, 2.3721176581408683, 2.368224765002829, 2.36432533688659, 2.3609829401636033, 2.3431703806885182, 2.3299728615611004, 2.326850439302201, 2.318564069523599, 2.317282000555299, 2.312650768677664, 2.310721685837606, 2.3052651562157154, 2.2966076575843464, 2.2830554429730654, 2.2828066406030767, 2.281327074071368, 2.27996244985689, 2.2695947229217377, 2.261140036098155, 2.2538622260925107, 2.253728754722399, 2.251442046375072, 2.245821295084571, 2.245802565137054, 2.2434019442444932, 2.22755718074885, 2.2235574399498184, 2.222828249209883, 2.2213877033115876, 2.221384721672517, 2.2176122478789755, 2.2175491549766098, 2.21002192312186, 2.206743053675986, 2.1956248166199326, 2.193905699887101, 2.1923187552230674, 2.1908537319904733, 2.1872943460942222, 2.1780520446185596, 2.1717110859488113, 2.1707173482768605, 2.169310814828886, 2.1677140183034074, 2.1660660964301965, 2.159471358730211, 2.1568853387232325, 2.1563190483364223, 2.1533766858066414, 2.1473714253570435, 2.142595548383238, 2.1399008408502813, 2.13973819617934, 2.1345492187202555, 2.1335851765664904, 2.131670371949554, 2.1305857835047415, 2.130368144178948, 2.122212217017172, 2.119634065385334, 2.1192533434503074, 2.1184804571505067, 2.115378482657402, 2.1093796193391614, 2.108390173220997, 2.107843984107865, 2.1051503712480537]"
row,randomized,60000,4000,0.3997960329055786,10,0.01,"[78.86875032583237, 17.0901497333606, 17.039546663146556, 16.972230362704796, 16.956649249212003, 16.941968079252202, 16.93348546722931, 16.90426683014621, 16.885184950616633, 16.873548925908334]"
row,arpack,40000,2000,0.5290392398834228,20,0.01,"[46.2741213300643, 14.269532769267581, 14.249126936876504, 14.223988705559673, 14.215894475941777, 14.210689924809525, 14.18682163127195, 14.180641659027486, 14.17426543801447, 14.159088205139366, 14.149982571952947, 14.148191156900506, 14.1388330510141, 14.131707089739475, 14.129547346601559, 14.115157442397777, 14.111845845912345, 14.09792393536495, 14.090981800798783, 14.08666540779912]"
row,arpack,60000,2000,1.1407800674438475,100,0.0005,"[4.5645682957195834, 4.493727368491429, 4.4083201585575225, 4.3874629005264145, 4.302591198430867, 4.295786167769763, 4.291801945763347, 4.287021092361149, 4.275358437035591, 4.263286500203526, 4.254654002871454, 4.239525052035032, 4.2352173442462595, 4.217108406591179, 4.205988342038995, 4.19955886572351, 4.196174878894369, 4.192981265113007, 4.187498798050257, 4.183288907605664, 4.178091116181165, 4.176981374689562, 4.164939218766634, 4.148665740122511, 4.146403876738364, 4.144474320804471, 4.13918462205647, 4.13220081296206, 4.129122410366329, 4.12447362668243, 4.121007809811262, 4.115845132525076, 4.111864973776365, 4.108829908211418, 4.107934256345038, 4.105593623799086, 4.102614922676486, 4.096994385726815, 4.093080420977793, 4.089502600678441, 4.087494625884875, 4.083557997944267, 4.080447791097766, 4.077808273516527, 4.074025184641265, 4.072903331431243, 4.067572988691217, 4.063951819753731, 4.061134692425859, 4.058878432309496, 4.057078880422313, 4.056016251580812, 4.053354584674325, 4.048851918487844, 4.0483326179094465, 4.046003516885235, 4.040485134050863, 4.038325804046806, 4.037042787270666, 4.030102172132295, 4.029423092474041, 4.026565110489883, 4.023568149638849, 4.022260060612845, 4.021249964974629, 4.015886941763723, 4.013958323310519, 4.012076784920537, 4.007431357068859, 4.006200961090327, 4.005016270329915, 4.002424577052472, 4.00035943103088, 3.9961319912960036, 3.9946888288407285, 3.991364342139881, 3.989168297748795, 3.9881039357241077, 3.98648553127016, 3.984503900302056, 3.9808675073580178, 3.9778220989270663, 3.9761837616816758, 3.974881911567862, 3.9726818529533814, 3.969660804037704, 3.967163013196898, 3.965502312896418, 3.9638904518943647, 3.9625849737816603, 3.959128144466704, 3.9572834993500274, 3.956123764890557, 3.953720004574568, 3.951768849515978, 3.9500007349710495, 3.9469647095495572, 3.9452100757337982, 3.9435156982962463, 3.94034494254545]"
row,randomized,50000,4000,0.3682167291641235,70,0.001,"[8.358709965778585, 5.566462953338393, 5.489930846900143, 5.454825769862225, 5.416278368491062, 5.399069916656764, 5.383779127791439, 5.379167182829405, 5.370859554761885, 5.365013112026909, 5.354207012561324, 5.349955780558431, 5.340080621556994, 5.321948318611164, 5.3164681544065, 5.312353170966737, 5.308412870348284, 5.29858249374682, 5.295620735788574, 5.2814694484530715, 5.2767866821603935, 5.270471739455361, 5.270139179396696, 5.264811485695922, 5.260897389719155, 5.25838137915028, 5.2454077523918965, 5.24055883386739, 5.235886227727954, 5.230992520471745, 5.2262608735268135, 5.221971148937078, 5.220254311385489, 5.217009195977092, 5.214574594626589, 5.210280071106161, 5.206169834206114, 5.2009484289266075, 5.197396251330093, 5.1929995450738184, 5.18341520836409, 5.181497883340442, 5.176782994573316, 5.172326683240086, 5.170376534942418, 5.168628599177324, 5.162088131097996, 5.1578411558661, 5.1543071466710355, 5.148143599196168, 5.145933222136158, 5.141121804993804, 5.135761575665683, 5.130570137626669, 5.129604360130217, 5.124707195361493, 5.123146921806282, 5.117044999983517, 5.111548284419156, 5.107445823520308, 5.103910848155564, 5.099039936594359, 5.095853985900263, 5.089905690068286, 5.087900854284023, 5.080703923410911, 5.07496539492547, 5.0711116756685195, 5.066077531073199, 5.062714236555451]"
row,arpack,40000,2000,0.1642988920211792,70,0.0001,"[2.2434023358343493, 2.2258541866738786, 2.209853593125391, 2.190912998408276, 2.1825634644601175, 2.131913700900974, 2.1253867679052965, 2.124602622273447, 2.117797985559906, 2.1096472495048713, 2.109619716698986, 2.0948873549349174, 2.084378756341401, 2.0822167076957565, 2.0778974779969412, 2.0533472211141293, 2.0510732121473687, 2.0504108523211575, 2.046490130225864, 2.038221626318745, 2.0349108636664464, 2.0277772569744035, 2.0267905155195653, 2.013286022978092, 1.9952332920234244, 1.9828183195829285, 1.9768421774487552, 1.9726732569680654, 1.9683123192377114, 1.9570399072460938, 1.9352522770210778, 1.9328663284634946, 1.9315893129514863, 1.930590962156875, 1.9302531346428613, 1.9292572668195898, 1.9283351415286147, 1.9234226097317602, 1.9230712267336247, 1.9169767635556973, 1.9158885226923643, 1.9024161863477826, 1.9018064340165384, 1.8995911533241947, 1.8964320588058912, 1.896028092231886, 1.8954602581858009, 1.8914373042627648, 1.8908731848837728, 1.889793308313473, 1.889706661844095, 1.8843085467080638, 1.8837739198326289, 1.8804680349276883, 1.8787273326662235, 1.875306637864163, 1.8634399138749642, 1.8606658057192136, 1.8598221413271407, 1.8585497786697274, 1.8551972706058208, 1.849414745538891, 1.8452011112407702, 1.8448603196517195, 1.8414861315918611, 1.8362275288358094, 1.8338453669913757, 1.8324822695982301, 1.8286890486818463, 1.8235145092641751]"
row,arpack,60000,4000,0.3846670866012573,50,0.0001,"[2.7650652494271726, 2.725273679605713, 2.65736457809544, 2.6411191242252703, 2.639794267482081, 2.634181934789896, 2.629548266546253, 2.607424928669051, 2.5821755588338666, 2.547688271508153, 2.5322067483492448, 2.5062295340914575, 2.500194986130224, 2.4934273573295878, 2.4923646360978693, 2.482862477544607, 2.4587991620288947, 2.455681803530578, 2.452835308017992, 2.4502230185278067, 2.4497254071565884, 2.4443241704686463, 2.415294794813225, 2.392278230325455, 2.391022256883329, 2.388849625140389, 2.3808596610293553, 2.3804011338544475, 2.3798181009663617, 2.3787654113926773, 2.3752214725581586, 2.3748329858210737, 2.367324771832146, 2.362754386950182, 2.3486503807488477, 2.3450460974795, 2.33819408922228, 2.3349472499282946, 2.334104385087014, 2.3244770821588685, 2.3189742510494584, 2.3188619479992236, 2.3179636726454045, 2.308466901331927, 2.3074606325088642, 2.3044398379475597, 2.301204133601552, 2.294352870233457, 2.2935284402282154, 2.2906506721716613]"
row,arpack,40000,2000,0.108979320526123,10,0.001,"[6.0285464998029346, 5.1229942559452715, 5.11683171602767, 5.09056630418919, 5.059697830490185, 4.990734937275463, 4.967802706480775, 4.955001480353062, 4.944401049452716, 4.9315430921877095]"
row,randomized,50000,2000,0.1439566850662231,10,0.01,"[51.71944554770219, 14.936866342853218, 14.890954925314134, 14.870975722904117, 14.867033147016596, 14.80178510612711, 14.796221493251071, 14.766523972722783, 14.753205890943283, 14.717449352404746]"
